MaxTempC,MinTempC,DownShortRadiation,MaxRelHumidity,MinRelHumidity,Precipitation,SpecHumidity,newMaxTempC,newMinTempC,dailyGDD,Year,cumGDDJan1,cumGDDMar1,Ordinal,Flight.Period
20.7172,11.7742,75.6803,89.6612,52.7673,10.1727,7.7283,20.7172,11.7742,6.2457,2003,6.2457,-1,1,ABSENT
19.2776,8.1646,122.8946,76.8963,46.5928,0,5.7497,19.2776,10,4.6388,2003,10.8845,-1,2,ABSENT
15.2976,5.9641,79.7994,88.4903,43.9061,4.3091,4.8213,15.2976,10,2.6488,2003,13.5333,-1,3,ABSENT
9.0568,0.9244,131.3963,70.7623,31.8234,0,2.4813,10,10,0,2003,13.5333,-1,4,ABSENT
13.0068,-1.5159,92.4004,64.2789,38.8918,0,2.8657,13.0068,10,1.5034,2003,15.0367,-1,5,ABSENT
13.337,0.9741,118.7887,70.3545,32.6203,0,2.7718,13.337,10,1.6685,2003,16.7052,-1,6,ABSENT
6.9077,-3.6058,132.8528,51.8407,23.9146,0,1.6686,10,10,0,2003,16.7052,-1,7,ABSENT
14.6877,-0.9555,129.7355,57.6255,34.0615,0,2.9947,14.6877,10,2.34385,2003,19.04905,-1,8,ABSENT
18.5176,2.1346,134.7377,70.3873,37.4075,0,4.3331,18.5176,10,4.2588,2003,23.30785,-1,9,ABSENT
14.3371,2.1247,117.0752,77.6127,28.6669,0,3.9491,14.3371,10,2.16855,2003,25.4764,-1,10,ABSENT
7.5068,-2.6354,139.3972,60.816,20.4863,0,1.6887,10,10,0,2003,25.4764,-1,11,ABSENT
4.4068,-4.2557,141.2227,42.953,13.7543,0,1.0256,10,10,0,2003,25.4764,-1,12,ABSENT
8.8575,-3.2555,106.7413,41.2384,23.7099,0,1.639,10,10,0,2003,25.4764,-1,13,ABSENT
8.4169,-3.7661,91.6293,59.5548,29.2475,0,2.0234,10,10,0,2003,25.4764,-1,14,ABSENT
5.4273,-2.9051,145.2034,63.5064,24.789,0,1.7494,10,10,0,2003,25.4764,-1,15,ABSENT
4.6577,-3.2853,61.4712,46.7154,14.6448,3.4941,1.6102,10,10,0,2003,25.4764,-1,16,ABSENT
